832
YLR216C| -0.77 -0.62
YLR217W| -0.38 -0.6
YLR219W| -0.67 -0.67
YLR295C| -0.42 -0.54
YMR107W| -0.58 -0.76
YNL037C| 1.54 1.54
YNL134C| -0.49 -0.49
YNL194C| 1.72 -0.44
YNL202W| 1.59 -0.44
YOR031W| 1.13 -0.71
YBR116C| -0.66 -0.32
YDL020C| 1.65 -0.68
YDR043C| -0.38 -0.38
YDR262w| -0.26 1.66
YEL065w| 0.01 -1.4
YGR146C| -0.46 1.67
YGR256W| -1.38 -0.31
YJR155W| -0.43 1.48
YKL163W| 0.06 1.52
YNL036W| 1.31 -0.98
YOR027W| 1.3 -0.84
YPL135W| -0.44 -0.44
YOL109W| 1.59 1.15
YAL067C| -0.83 1.64
YBR053C| 1.7 -0.2
YBR203W| -0.53 1.82
YBR214W| -0.21 1.81
YBR280C| 1.99 -0.43
YDL169C| -0.4 1.59
YDL245C| 0.1 -1.29
YDR148C| -1.16 -0.01
YDR255C| -0.73 -0.08
YDR329C| -0.81 -0.29
YDR533C| -0.86 -0.42
YER098w| 1.45 1.5
YER142c| 1.55 -1.25
YER175c| -0.15 1.56
YGL045W| -0.8 1.48
YGL059W| 0.43 1.18
YGR043C| 1.81 -0.71
YGR052W| -1.3 1.49
YGR066C| -0.88 0.03
YGR130C| -0.4 -0.62
YGR201C| 1.59 -0.47
YGR289C| -0.79 1.85
YHR195W| -0.9 -0.65
YJL153C| -0.44 1.36
YJL161W| 1.6 -0.6
YJR008W| -0.59 1.31
YJR080C| 1.64 -0.8
YKR058W| -0.32 -0.32
YLL001w| -0.36 1.56
YLR271W| 1.34 1.75
YMR271C| 1.7 -0.9
YMR311C| -0.58 -0.84
YMR322C| -0.74 1.45
YNR007C| 1.27 -0.61
YOL032W| 1.97 -0.77
YOL053W| 0.4 0.4
YOR178C| -0.6 1.69
YOR289W| 1.58 -0.06
YOR386W| -1.1 -1.02
YPL185W| -0.53 1.39
YPL186C| 1.55 -0.94
YPR150W| -0.49 -0.55
YBL015W| 1.81 1.81
YBL099W| -0.66 1.96
YBL100C| -0.36 -0.85
YBR039W| -0.37 1.96
YBR132C| 0.3 -1.4
YDL181W| 1.26 -1.32
YDR059C| -0.56 -0.08
YDR085C| 0.25 1.42
YEL011w| -0.47 -0.47
YER079w| 1.77 -0.38
YFL030W| 2.03 0.8
YGL259W| 0.87 2.02
YGR070W| -0.85 -0.89
YGR142W| -0.5 -0.97
YGR250C| 1.78 1.78
YHL024W| -1.13 -0.54
YHR051W| -0.15 -0.15
YIL101C| -0.09 1.35
YJL103C| 1.35 -0.6
YJR048W| -0.13 1.09
YJR121W| 2.05 -0.58
YKL109W| 1.81 -0.22
YKL141W| 0.05 1.85
YLR038c| 1.7 0.27
YLR149C| -0.88 1.64
YLR312C| -0.31 1.99
YML054C| -0.58 -1.01
YMR031C| -0.39 0.27
YMR056C| 0.83 -1.02
YMR081C| -0.13 -0.14
YMR136W| -0.46 1.36
YMR181C| 1.5 1.5
YMR191W| -1.03 -0.38
YNL052W| 0.03 -0.55
YNR001C| -0.6 1.76
YOL117W| -0.84 -0.84
YOL126C| 1.76 1.26
YOL153C| -0.73 -0.73
YOR035C| -0.89 1.2
YOR065W| 1.88 -0.69
YOR100C| -0.49 1.98
YPL165C| -1.15 1.61
YPL201C| -0.54 -0.65
YPL223C| -0.55 -0.75
YPR020W| -0.93 1.62
YPR098C| 0 1.92
YPR184W| -0.89 -0.89
YAL054C| -0.51 -0.85
YDR125C| -0.68 -0.44
YDR216W| -0.69 1.3
YEL012w| 0.93 -0.38
YER024w| -0.78 0.54
YGL062W| 0.36 -0.67
YIL125W| 2.23 -0.54
YJL089W| -0.58 -0.45
YJL163C| 0.92 -0.65
YKL187C| -0.41 1.08
YLR259C| -0.45 -0.39
YLR311C| -0.78 -0.33
YNL009W| -0.58 -1.02
YOL084W| -0.89 0.69
YPL262W| -0.49 -0.57
YPR030W| 1.08 -0.44
YBL045C| -0.14 -0.92
YBR001C| 0.19 0.19
YBR117C| -1.22 1.9
YBR298C| 1.88 1.88
YCR005c| -1.06 2.04
YDL199c| -0.8 -1.12
YGL153W| -0.6 1.87
YGR110W| 0.72 0.72
YHL032C| -0.8 -0.65
YHR096C| -0.69 0.65
YJL045W| -0.5 -0.62
YJL137C| 1.98 -0.42
YJR095W| -0.57 -0.91
YKR076W| 1.88 -0.72
YLR174W| 0.02 0.02
YLR267W| -0.64 -0.99
YML042W| -0.65 -0.93
YMR114C| -1.38 0.24
YMR206W| -0.77 1.19
YOR019W| -0.55 1.73
YOR391C| -0.9 -0.11
YCR054C| 0.46 -1.08
YKL061W| -0.64 1.42
YLR109W| 0.88 -1.42
YBL054W| 1.03 -1.24
YBR034C| -1.36 -0.87
YGR177C| 0.86 0.63
YKL078W| -0.68 -0.68
YKL106W| -1.41 1.65
YKR024C| 0.58 1.03
YLR380W| 0.52 -1.66
YMR310C| -0.64 -0.64
YOR271C| 0.93 0.77
YPL256C| 0.94 -0.51
YBR247C| -2.06 -0.28
YBR267W| -0.51 0.7
YCLX02C| -0.54 -0.54
YCR058C| -0.92 0.81
YDL151c| -0.92 -0.4
YDR384C| -0.16 -0.82
YDR465C| -0.8 1.09
YFL022C| -1.54 1.27
YGR159C| -0.41 -0.5
YGR280C| -0.21 -0.21
YHR206W| 1.23 1.64
YIL019W| -0.36 -1.21
YIL065C| -0.64 -0.1
YJL194W| -0.37 1.9
YKR056W| -1.6 1.29
YLL012W| -0.26 -0.55
YLR073C| -0.6 1.22
YLR214W| -0.61 1.7
YLR293C| -0.23 -1.76
YMR093W| -0.91 1.19
YMR259C| -0.03 1.2
YNR038W| -0.86 0.54
YOL019W| 1.47 -0.69
YOL101C| 1.13 -1.37
